timestamp,price,bid,ask
1763424183,92095.00162290383,0.48,0.5
1763424184,92096.67492218773,0.47,0.5
1763424185,92096.56384699387,0.49,0.52
1763424186,92102.49606538599,0.52,0.54
1763424187,92110.00206870257,0.54,0.56
1763424188,92117.64384951892,0.54,0.57
1763424189,92122.76452422082,0.55,0.57
1763424190,92124.3703679593,0.54,0.56
1763424192,92125.80730734927,0.56,0.57
1763424193,92128.92187512376,0.56,0.57
1763424194,92130.67388300847,0.56,0.57
1763424195,92131.0141541005,0.54,0.57
1763424196,92131.0141541005,0.54,0.57
1763424197,92127.12409299155,0.55,0.58
1763424198,92125.5374927435,0.55,0.58
1763424199,92124.0251451877,0.55,0.58
1763424200,92124.0251451877,0.55,0.57
1763424201,92123.39373207536,0.56,0.59
1763424202,92128.45396513346,0.56,0.59
1763424203,92128.7081000832,0.57,0.59
1763424204,92128.7081000832,0.57,0.59
1763424205,92130.02201203803,0.58,0.59
1763424206,92132.84,0.58,0.6
1763424207,92139.0677965,0.6,0.61
1763424208,92139.0752965,0.59,0.61
1763424209,92141.5953634787,0.58,0.61
1763424210,92141.5443983099,0.58,0.61
1763424211,92143.49762982411,0.6,0.62
1763424212,92142.97833999852,0.59,0.61
1763424213,92143.01111876837,0.59,0.62
1763424214,92143.99660333406,0.61,0.62
1763424215,92149.54276087147,0.61,0.62
1763424216,92149.784578,0.61,0.62
1763424217,92149.784578,0.62,0.64
1763424218,92157.83307772,0.61,0.64
1763424219,92153.04446320793,0.61,0.64
1763424220,92152.21466425221,0.61,0.63
1763424221,92152.51087598772,0.61,0.63
1763424222,92152.51087598772,0.61,0.63
1763424223,92153.3366653747,0.61,0.63
1763424224,92152.49237598771,0.62,0.63
1763424225,92151.98112767532,0.58,0.6
1763424226,92150.18704192157,0.58,0.59
1763424227,92136.38917004307,0.57,0.59
1763424228,92135.58448061462,0.56,0.59
1763424229,92133.78316113057,0.59,0.6
1763424230,92159.1381992391,0.6,0.61
1763424231,92159.1381992391,0.6,0.62
1763424232,92157.46320049514,0.6,0.61
1763424233,92153.52821692429,0.59,0.61
1763424234,92152.32057904055,0.6,0.61
1763424235,92146.9209201715,0.64,0.65
1763424236,92146.9209201715,0.64,0.65
1763424237,92164.24844092145,0.64,0.65
1763424238,92164.24844092145,0.63,0.64
1763424239,92165.2981755767,0.62,0.63
1763424240,92156.2896281032,0.62,0.63
1763424241,92156.2896281032,0.62,0.63
1763424242,92154.72251116417,0.61,0.63
1763424243,92154.57054404901,0.61,0.63
1763424245,92155.0233077592,0.61,0.63
1763424246,92153.44963138393,0.58,0.6
1763424247,92144.46479147795,0.58,0.6
1763424248,92144.98233718933,0.56,0.58
1763424249,92140.1139139495,0.56,0.58
1763424250,92131.971985178,0.56,0.58
1763424251,92131.36675890569,0.57,0.58
1763424252,92131.56232196307,0.57,0.58
1763424253,92132.87366195176,0.57,0.58
1763424254,92137.06059071248,0.57,0.58
1763424256,92133.52905649558,0.59,0.62
1763424257,92144.18476012637,0.6,0.63
1763424258,92148.00407073762,0.6,0.63
1763424259,92152.13846924026,0.59,0.6
1763424260,92151.32716657144,0.59,0.6
1763424261,92145.80840140862,0.61,0.62
1763424262,92144.26498918633,0.6,0.62
1763424263,92149.83599736256,0.63,0.64
1763424264,92151.41925116166,0.65,0.66
1763424265,92166.82176725673,0.64,0.65
1763424266,92166.44015526507,0.64,0.66
1763424268,92168.91422938304,0.64,0.66
1763424269,92168.76368249308,0.64,0.66
1763424270,92169.01791846674,0.64,0.66
1763424272,92169.50200540622,0.64,0.66
1763424273,92167.83056927274,0.65,0.66
1763424274,92166.21298010151,0.64,0.66
1763424275,92166.21298010151,0.64,0.66
1763424276,92163.6355446954,0.64,0.65
1763424277,92163.08826233873,0.64,0.65
1763424278,92163.73618341146,0.64,0.65
1763424279,92164.43047723545,0.64,0.66
1763424280,92166.42024408375,0.64,0.66
1763424281,92164.11567743483,0.64,0.66
1763424282,92164.11567743483,0.64,0.66
1763424283,92163.50961373684,0.63,0.66
1763424284,92163.50961373684,0.63,0.66
1763424285,92160.06702978692,0.63,0.64
1763424286,92160.06552978692,0.63,0.65
1763424287,92157.8410230604,0.63,0.65
1763424288,92157.026272896,0.62,0.65
1763424289,92155.86606771275,0.64,0.65
1763424290,92155.49695535527,0.64,0.65
1763424291,92157.6509962424,0.64,0.65
1763424292,92157.6523711261,0.64,0.65
1763424293,92161.00223753238,0.62,0.65
1763424294,92161.00223753238,0.61,0.65
1763424295,92152.79210533178,0.6,0.62
1763424296,92148.39775956034,0.51,0.54
1763424297,92148.39775956034,0.5,0.52
1763424298,92104.32401588246,0.48,0.49
1763424299,92103.11669453472,0.48,0.49
1763424300,92101.8418172569,0.48,0.5
1763424301,92101.8418172569,0.5,0.51
1763424302,92099.57133608407,0.52,0.54
1763424303,92112.36509040631,0.57,0.58
1763424304,92121.67279655079,0.56,0.57
1763424305,92130.04776782978,0.57,0.58
1763424306,92130.04776782978,0.58,0.6
1763424307,92141.50683992509,0.6,0.61
1763424308,92142.31888903708,0.6,0.61
1763424309,92146.1243638909,0.6,0.61
1763424310,92148.34108835038,0.6,0.62
1763424311,92148.91215014104,0.6,0.62
1763424312,92148.91215014104,0.61,0.62
1763424313,92150.14479021933,0.61,0.62
1763424314,92152.0306232518,0.6,0.62
1763424315,92153.16221547588,0.6,0.62
1763424316,92153.16221547588,0.6,0.62
1763424317,92152.22409381892,0.6,0.61
1763424318,92150.92551826261,0.6,0.62
1763424319,92150.92551826261,0.6,0.62
1763424320,92149.2647825524,0.59,0.62
1763424321,92150.21117220724,0.62,0.63
1763424322,92154.36468205389,0.62,0.63
1763424323,92155.04781466574,0.63,0.65
1763424324,92166.64244518848,0.65,0.66
1763424325,92170.87652152171,0.68,0.69
1763424326,92170.87652152171,0.67,0.69
1763424327,92186.89693065308,0.73,0.74
1763424328,92186.89693065308,0.74,0.75
1763424329,92226.49590690884,0.74,0.75
1763424330,92233.29781381767,0.75,0.76
1763424331,92236.963081927,0.75,0.76
1763424332,92240.36901113021,0.75,0.76
1763424333,92241.50337086689,0.71,0.72
1763424334,92241.48737086689,0.69,0.7
1763424335,92205.51844879036,0.66,0.68
1763424336,92184.98374602302,0.62,0.64
