timestamp,symbol,price,delta,delta_pct,sigma,seconds_left,prob_up,bid,ask
1763128480,btc/usd,95210.579,533.093,0.0056,0.000136,320,0.989,0.97,0.98
1763128481,btc/usd,95215.055,537.569,0.0057,0.000136,319,0.99,0.97,0.98
1763128483,btc/usd,95230.812,553.326,0.0058,0.000136,317,0.992,0.97,0.98
1763128484,btc/usd,95230.812,553.326,0.0058,0.000136,316,0.992,0.97,0.98
1763128485,btc/usd,95243.232,565.746,0.006,0.000135,315,0.993,0.97,0.98
1763128487,btc/usd,95253.343,575.857,0.0061,0.000135,313,0.994,0.97,0.98
1763128488,btc/usd,95214.806,537.32,0.0057,0.000137,312,0.991,0.97,0.98
1763128490,btc/usd,95214.161,536.674,0.0057,0.000136,310,0.991,0.97,0.98
1763128491,btc/usd,95208.461,530.975,0.0056,0.000136,309,0.99,0.97,0.98
1763128492,btc/usd,95216.544,539.058,0.0057,0.000136,308,0.991,0.97,0.98
1763128494,btc/usd,95215.628,538.142,0.0057,0.000136,306,0.992,0.97,0.98
1763128495,btc/usd,95223.261,545.775,0.0058,0.000136,305,0.992,0.97,0.98
1763128497,btc/usd,95229.103,551.617,0.0058,0.000135,303,0.993,0.97,0.98
1763128498,btc/usd,95234.59,557.104,0.0059,0.000135,302,0.994,0.97,0.98
1763128500,btc/usd,95217.467,539.981,0.0057,0.000135,300,0.992,0.97,0.98
1763128501,btc/usd,95213.382,535.896,0.0057,0.000135,299,0.992,0.97,0.98
1763128502,btc/usd,95214.993,537.507,0.0057,0.000135,298,0.993,0.97,0.98
1763128504,btc/usd,95214.982,537.495,0.0057,0.000135,296,0.993,0.97,0.98
1763128505,btc/usd,95214.982,537.495,0.0057,0.000135,295,0.993,0.97,0.98
1763128506,btc/usd,95200.882,523.396,0.0055,0.000134,294,0.992,0.97,0.98
1763128508,btc/usd,95200.882,523.396,0.0055,0.000134,292,0.992,0.97,0.98
1763128509,btc/usd,95214.037,536.551,0.0057,0.000134,291,0.993,0.97,0.98
1763128511,btc/usd,95206.988,529.502,0.0056,0.000134,289,0.993,0.97,0.98
1763128512,btc/usd,95194.227,516.741,0.0055,0.000134,288,0.992,0.97,0.98
1763128513,btc/usd,95201.948,524.462,0.0055,0.000134,287,0.993,0.97,0.98
1763128515,btc/usd,95218.602,541.116,0.0057,0.000134,285,0.994,0.97,0.98
1763128516,btc/usd,95225.913,548.427,0.0058,0.000134,284,0.995,0.97,0.98
1763128517,btc/usd,95232.798,555.312,0.0059,0.000134,283,0.995,0.97,0.98
1763128519,btc/usd,95292.93,615.444,0.0065,0.000135,281,0.998,0.97,0.98
1763128520,btc/usd,95301.479,623.993,0.0066,0.000135,280,0.998,0.97,0.98
1763128521,btc/usd,95334.867,657.381,0.0069,0.000135,279,0.999,0.97,0.98
1763128523,btc/usd,95359.74,682.254,0.0072,0.000135,277,0.999,0.97,0.98
1763128524,btc/usd,95378.465,700.979,0.0074,0.000135,276,0.999,0.97,0.98
1763128525,btc/usd,95432.497,755.011,0.008,0.000138,275,1.0,0.97,0.98
1763128527,btc/usd,95422.379,744.893,0.0079,0.000138,273,1.0,0.97,0.99
1763128528,btc/usd,95446.039,768.553,0.0081,0.000138,272,1.0,0.98,0.99
1763128529,btc/usd,95421.732,744.246,0.0079,0.000139,271,1.0,0.98,0.99
1763128531,btc/usd,95388.166,710.68,0.0075,0.000139,269,0.999,0.98,0.99
1763128532,btc/usd,95388.166,710.68,0.0075,0.000139,268,0.999,0.98,0.99
1763128534,btc/usd,95407.829,730.343,0.0077,0.000139,266,1.0,0.98,0.99
1763128535,btc/usd,95422.326,744.84,0.0079,0.000139,265,1.0,0.98,0.99
1763128536,btc/usd,95527.369,849.883,0.009,0.000144,264,1.0,0.98,0.99
1763128538,btc/usd,95518.145,840.659,0.0089,0.000144,262,1.0,0.98,0.99
1763128539,btc/usd,95496.646,819.16,0.0087,0.000144,261,1.0,0.98,0.99
1763128540,btc/usd,95445.092,767.606,0.0081,0.000145,260,1.0,0.98,0.99
1763128542,btc/usd,95445.092,767.606,0.0081,0.000145,258,1.0,0.98,0.99
1763128543,btc/usd,95418.027,740.541,0.0078,0.000145,257,1.0,0.99,
1763128545,btc/usd,95403.518,726.032,0.0077,0.000145,255,0.999,0.99,
1763128546,btc/usd,95407.244,729.757,0.0077,0.000145,254,1.0,0.99,
1763128547,btc/usd,95408.226,730.74,0.0077,0.000145,253,1.0,0.99,
1763128549,btc/usd,95409.153,731.667,0.0077,0.000145,251,1.0,0.98,0.99
1763128550,btc/usd,95364.452,686.966,0.0073,0.000146,250,0.999,0.98,0.99
1763128551,btc/usd,95364.452,686.966,0.0073,0.000146,249,0.999,0.98,
1763128553,btc/usd,95295.452,617.966,0.0065,0.000149,247,0.997,0.98,
